Statistics for the A* algorithm

Current state: {'DS': 185, 'MS': 180, 'PCom': 0, 'PM': 0, 'SOC': 170}
Current state: {'DS': 185, 'MS': 180, 'PCom': 0, 'PM': 0, 'SOC': 155}
Current state: {'DS': 170, 'MS': 180, 'PCom': 0, 'PM': 0, 'SOC': 155}
Current state: {'DS': 170, 'MS': 165, 'PCom': 0, 'PM': 0, 'SOC': 155}
Current state: {'DS': 170, 'MS': 165, 'PCom': 0, 'PM': 0, 'SOC': 140}
Current state: {'DS': 155, 'MS': 165, 'PCom': 0, 'PM': 0, 'SOC': 140}
Current state: {'DS': 155, 'MS': 150, 'PCom': 0, 'PM': 0, 'SOC': 140}
Current state: {'DS': 140, 'MS': 150, 'PCom': 0, 'PM': 0, 'SOC': 140}
Current state: {'DS': 140, 'MS': 150, 'PCom': 0, 'PM': 0, 'SOC': 125}
Current state: {'DS': 140, 'MS': 135, 'PCom': 0, 'PM': 0, 'SOC': 125}
Current state: {'DS': 125, 'MS': 135, 'PCom': 0, 'PM': 0, 'SOC': 125}
Current state: {'DS': 125, 'MS': 135, 'PCom': 0, 'PM': 0, 'SOC': 110}
Current state: {'DS': 125, 'MS': 120, 'PCom': 0, 'PM': 0, 'SOC': 110}
Current state: {'DS': 110, 'MS': 120, 'PCom': 0, 'PM': 0, 'SOC': 110}
Current state: {'DS': 110, 'MS': 120, 'PCom': 0, 'PM': 0, 'SOC': 95}
Current state: {'DS': 110, 'MS': 105, 'PCom': 0, 'PM': 0, 'SOC': 95}
Current state: {'DS': 95, 'MS': 105, 'PCom': 0, 'PM': 0, 'SOC': 95}
Current state: {'DS': 95, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 95}
Current state: {'DS': 95, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 80, 'MS': 90, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 80, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 80}
Current state: {'DS': 80, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 65, 'MS': 75, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 65, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 65}
Current state: {'DS': 65, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 50, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 50, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 50, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 50, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 50, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 50, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 50, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 50, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 50, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 50, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 50, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 50, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 50, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 50, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 50, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 50, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 50, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 50, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 50, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 50, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 50, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 50, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 50, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 50, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 50, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 50, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 50, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 50, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 50, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 50, 'MS': 30, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 50, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 50, 'MS': 15, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 50, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 50, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 35, 'MS': 0, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 50, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 50, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 35}
Current state: {'DS': 50, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 50, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 20}
Current state: {'DS': 50, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 50, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 5}
Current state: {'DS': 50, 'MS': 60, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 50, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 0}
Current state: {'DS': 65, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 50}
Current state: {'DS': 50, 'MS': 45, 'PCom': 0, 'PM': 0, 'SOC': 50}
