Statistics for the A* algorithm

Current state: {'DS': 0, 'PCom': 0, 'PM': 30, 'SO': 75}
Current state: {'DS': 0, 'PCom': 0, 'PM': 30, 'SO': 60}
Current state: {'DS': 0, 'PCom': 0, 'PM': 30, 'SO': 45}
Current state: {'DS': 0, 'PCom': 0, 'PM': 30, 'SO': 30}
Current state: {'DS': 0, 'PCom': 0, 'PM': 30, 'SO': 15}
Current state: {'DS': 0, 'PCom': 0, 'PM': 30, 'SO': 0}
Current state: {'DS': 0, 'PCom': 0, 'PM': 15, 'SO': 0}
Final evaluation: True
Total iterations: 91
Total states: 12368
Final state constraints: 0
