Statistics for the A* algorithm

Current state: {'AA': 0, 'ASC': 550, 'IA': 20, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 15, 'PM': 0}
Current state: {'AA': 0, 'ASC': 550, 'IA': 50, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 15, 'PM': 0}
Current state: {'AA': 25, 'ASC': 550, 'IA': 20, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 45, 'PM': 0}
Current state: {'AA': 0, 'ASC': 550, 'IA': 20, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 45, 'PM': 0}
Current state: {'AA': 0, 'ASC': 550, 'IA': 50, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 45, 'PM': 0}
Current state: {'AA': 25, 'ASC': 550, 'IA': 20, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 75, 'PM': 0}
Current state: {'AA': 0, 'ASC': 550, 'IA': 20, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 75, 'PM': 0}
Current state: {'AA': 0, 'ASC': 550, 'IA': 50, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 75, 'PM': 0}
Current state: {'AA': 25, 'ASC': 550, 'IA': 20, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 75, 'PM': 50}
Current state: {'AA': 25, 'ASC': 550, 'IA': 20, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 45, 'PM': 50}
Current state: {'AA': 25, 'ASC': 550, 'IA': 20, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 15, 'PM': 50}
Current state: {'AA': 25, 'ASC': 550, 'IA': 20, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 15, 'PM': 20}
Current state: {'AA': 0, 'ASC': 550, 'IA': 20, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 15, 'PM': 20}
Current state: {'AA': 0, 'ASC': 550, 'IA': 20, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 15, 'PM': 50}
Current state: {'AA': 25, 'ASC': 550, 'IA': 20, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 45, 'PM': 20}
Current state: {'AA': 0, 'ASC': 550, 'IA': 20, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 45, 'PM': 20}
Current state: {'AA': 0, 'ASC': 550, 'IA': 20, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 45, 'PM': 50}
Current state: {'AA': 25, 'ASC': 550, 'IA': 20, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 75, 'PM': 20}
Current state: {'AA': 0, 'ASC': 550, 'IA': 20, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 75, 'PM': 20}
Current state: {'AA': 0, 'ASC': 550, 'IA': 20, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 75, 'PM': 50}
Current state: {'AA': 25, 'ASC': 550, 'IA': 50, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 75, 'PM': 20}
Current state: {'AA': 25, 'ASC': 550, 'IA': 50, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 45, 'PM': 20}
Current state: {'AA': 25, 'ASC': 550, 'IA': 50, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 15, 'PM': 20}
Current state: {'AA': 0, 'ASC': 550, 'IA': 50, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 15, 'PM': 20}
Current state: {'AA': 0, 'ASC': 550, 'IA': 50, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 45, 'PM': 20}
Current state: {'AA': 0, 'ASC': 550, 'IA': 50, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 75, 'PM': 20}
